b'"actual_costs_to_report_date","adopted_budget","amended_budget","available_balance","category","date","date_created","department","project_description","project_id","project_year","spent","subcategory","tax_supported_utilities"
"937534.89","1100000","1199250","261715.11","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Traffic Engineer Improve     P","1831000114","2014","78.18","Traffic Engineering Improvements","Tax Supported (including Transit)"
"0","620000","620000","620000","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Community Centres- Refurbish","6390000117","2017","0",,"Tax Supported (including Transit)"
"1142381.51","1800000","1794150","651768.49","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sargent-Victor/Arlington","1804100216","2016","63.67","Streets Renewals","Tax Supported (including Transit)"
"612782.8","1500000","1375125","762342.2","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Archibald/Watt-#80Narin","1804101216","2016","44.56","Streets Renewals","Tax Supported (including Transit)"
"0","250000","250000","250000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Traffic Signals Loops","1831100217","2017","0","Traffic Engineering Improvements","Tax Supported (including Transit)"
"2966825.17","0","3016000","49174.83","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","St. Vital Outdoor Pool Redevel","6251000214","2014","98.37",,"Tax Supported (including Transit)"
"9536.22","200000","200000","190463.78","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","CIWMS Conslt Supprt Transition","2065000814","2014","4.77",,"Utilities"
"11200","312000","312000","300800","Library Shelving & Furniture  Replacement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Safety & Access Prog","6210000117","2017","3.59",,"Tax Supported (including Transit)"
"31351.59","870000","870000","838648.41","Assessment Automation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Assessment and Taxation","Assessment Automation","1400000117","2017","3.6",,"Tax Supported (including Transit)"
"195096.85","400000","400000","204903.15","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Web Self Service","2010001116","2016","48.77",,"Utilities"
"156511.24","200000","200000","43488.76","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","CIWMS-Source Seperated Organic","2065000913","2013","78.26",,"Utilities"
"0","2000000","0","0","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Building Comm Initiative II","6351200012","2012","0",,"Tax Supported (including Transit)"
"75193.74","100000","100000","24806.26","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Asset Mgmt - Engineering","1812000414","2014","75.19","Asset Management","Tax Supported (including Transit)"
"0","550000","550000","550000","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Facilities Optimizat-Station 9","2111010917","2017","0",,"Tax Supported (including Transit)"
"0","766000","766000","766000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Reforestation - Improvements","1850000117","2017","0","Reforestation, Streets and Aesthetic Improvements","Tax Supported (including Transit)"
"393596.18","400000","400000","6403.82","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-St. Charles Ward   PM","6351920013","2013","98.4",,"Tax Supported (including Transit)"
"1171978.87","1350000","1435612.5","263633.63","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","2533/Portage WB  - Moorgate","1804101215","2015","81.64","Streets Renewals","Tax Supported (including Transit)"
"891806.04","650000","1000000","108193.96","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-Elmwood/E Kildonan PM","6351914113","2013","89.18",,"Tax Supported (including Transit)"
"261682.6","400000","400000","138317.4","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Road Mater Plan Develop","2065001415","2015","65.42",,"Utilities"
"223680.63","700000","697500","473819.37","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Land Drainage Sewer-Reg/Loc St","1813000116","2016","32.07","Land Drainage Sewer","Tax Supported (including Transit)"
"0","1500000","500000","500000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sidewalk/Curb Renew-Dtwn RegSt","1804200217","2017","0","Streets Renewals","Tax Supported (including Transit)"
"8600","240000","240000","231400","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Boni-Vital Pool","6362400317","2017","3.58",,"Tax Supported (including Transit)"
"0","632000","632000","632000","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Zoll Monitor Defibrillators","2104013017","2017","0",,"Tax Supported (including Transit)"
"113118.08","500000","500000","386881.92","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways & Bk Path Renew","1806101816","2016","22.62","Active Transportation Facilities","Tax Supported (including Transit)"
"0","1158000","1158000","1158000","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Major Case Mgnt System Expansn","2202700017","2017","0",,"Tax Supported (including Transit)"
"552075.34","750000","747562.5","195487.16","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Notre Dame-Wall/Arlington","1804100416","2016","73.85","Streets Renewals","Tax Supported (including Transit)"
"0","100000","100000","100000","Communications Network Infrastructure","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Infrastructure Service Enhance","3458300017","2017","0",,"Tax Supported (including Transit)"
"5492.67","1000000","1000000","994507.33","Pumping Station Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Pumping Station Rehab","2076500116","2016","0.55",,"Tax Supported (including Transit)"
"0","255000","255000","255000","Security/Building Automation Systems Incentives","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Security/Building Automation","6331002617","2017","0",,"Tax Supported (including Transit)"
"474470.54","500000","500000","25529.46","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Tech Crimes and TSU Storage Sy","2201000013","2013","94.89",,"Tax Supported (including Transit)"
"6788615.99","7000000","7253125","464509.01","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Residential TBO","1806101214","2014","93.6","Street Renewals","Tax Supported (including Transit)"
"438630.85","0","450000","11369.15","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Royalwood Parks Enhancements","6351800313","2013","97.47",,"Tax Supported (including Transit)"
"59098.83","310000","310000","250901.17","LBIS - Customer Service Conversion & Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","GIS & PW Manager Upgrade","2040001516","2016","19.06",,"Utilities"
"0","0","5000","5000","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","SMIR-Goods Movement 101","1816010316","2016","0","Asset Management","Tax Supported (including Transit)"
"35317043.55","40000000","45300000","9982956.45","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Polo Park-Infrastructure Imp M","1803000213","2013","77.96","Street Improvements","Tax Supported (including Transit)"
"0","0","31720.44","31720.44","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -Unmanned Aerial Veh","0400091716","2016","0",,"Tax Supported (including Transit)"
"89546.21","4844000","4844000","4754453.79","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17-R-04 MMM","1806101017","2017","1.85","Street Renewals","Tax Supported (including Transit)"
"204003.98","0","271428","67424.02","Recreation and Leisure Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Charleswood - Tuxedo Ward    P","6399090113","2013","75.16",,"Tax Supported (including Transit)"
"279372.46","250000","298127.5","18755.04","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Pave Granulr Shoulders-Reg St","1804102316","2016","93.71","Streets Renewals","Tax Supported (including Transit)"
"1209845.89","3109000","3109000","1899154.11","Aqueduct Intake Con Assmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Aqueduct Intake Con Assmt","2012000215","2015","38.91",,"Utilities"
"72157.3","380000","380000","307842.7","Customer Information and Billing System","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Customer Billing Upgrade","2040001216","2016","18.99",,"Utilities"
"754267.65","5000000","5000000","4245732.35","Water Pollution Control Centre Reliability Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","WPCC Asset Refurbish/Replace","2030000515","2015","15.09",,"Utilities"
"396754","432000","582000","185246","Cemeteries - Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Cemeteries - Improvements","6322100116","2016","68.17",,"Tax Supported (including Transit)"
"619836.34","1014000","1014000","394163.66","Fire/Life Safety Replacement/Asbestos Abatement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Fire/Life Safety/Regulatory","6331000414","2014","61.13",,"Tax Supported (including Transit)"
"0","1698000","1698000","1698000","Community Incentive Grant Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Incentive Grant Prog","6251000117","2017","0",,"Tax Supported (including Transit)"
"471198.9","2425000","2425000","1953801.1","Innovative Transit Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Innovative Transit Program","4230030116","2016","19.43",,"Tax Supported (including Transit)"
"274151.06","1083000","561000","286848.94","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Police Computer Upgrades","2202102014","2014","48.87",,"Tax Supported (including Transit)"
"210229.39","1000000","1000000","789770.61","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Watershed & Asset Protection","2001003015","2015","21.02",,"Utilities"
"24440.44","124000","123566","99125.56","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Athletic Fields - Improvements","1852000115","2015","19.78","Athletic Fields Improvements","Tax Supported (including Transit)"
"665123.37","750000","750000","84876.63","Assessment Automation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Assessment and Taxation","Assessment Automation","1400000115","2015","88.68",,"Tax Supported (including Transit)"
"49296.28","51500","51500","2203.72","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","BlvdVilleneuve-Asph Conc Ln Pa","1420210915","2015","95.72",,"Tax Supported (including Transit)"
"71069.72","116000","116000","44930.28","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Decontamination Unit","2108010016","2016","61.27",,"Tax Supported (including Transit)"
"37200","1038000","1038000","1000800","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Spray Pad - Old Ex/NCentennial","6254000217","2017","3.58",,"Tax Supported (including Transit)"
"0","150000","149400","149400","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Hardsurface Upgrading","1856000116","2016","0","Pathway/Roadway/Tennis Court Upgrading","Tax Supported (including Transit)"
"547329.03","1500000","1500000","952670.97","Pumping Station Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Pumping Station Rehab","2076500115","2015","36.49",,"Tax Supported (including Transit)"
"-0.01","8700000","8700000","8700000.01","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Pump Stn/Resevoir Upgrades","2005001216","2016","0",,"Utilities"
"1068415.25","1200000","1196100","127684.75","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Pembina - Point / McGillivray","1804101715","2015","89.32","Streets Renewals","Tax Supported (including Transit)"
"0","424000","424000","424000","Arc Flash Hazard Analysis / Remediation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Arc Flash Hazard Analysis/Remd","2030001817","2017","0",,"Utilities"
"0","1000000","1000000","1000000","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Land Drainage Sewer-Reg/Loc St","1813000117","2017","0","Land Drainage Sewer","Tax Supported (including Transit)"
"0","200000","200000","200000","Election Systems","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","Elections Systems","0400000517","2017","0",,"Tax Supported (including Transit)"
"0","20000000","20000000","20000000","Police Headquarters","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","North District Police Station","6322002817","2017","0",,"Tax Supported (including Transit)"
"248179","0","271429","23250","Recreation and Leisure Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","St. Norbert Ward        P","6399070113","2013","91.43",,"Tax Supported (including Transit)"
"89302.85","100000","100000","10697.15","Community Centres - Refurbishment and Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","UFF- Hockey Pen Light Standard","6390002015","2015","89.3",,"Tax Supported (including Transit)"
"467095.93","500000","500000","32904.07","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways & Bk Path Renew","1806101715","2015","93.42","Active Transportation Facilities","Tax Supported (including Transit)"
"0","1750000","1750000","1750000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Residential TBO A","1806101617","2017","0","Street Renewals","Tax Supported (including Transit)"
"4107204.7","4644629","4289534","182329.3","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 14-R-05 AECOM","1806100514","2014","95.75","Street Renewals","Tax Supported (including Transit)"
"1143.26","100000","100000","98856.74","Energy Conservation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Energy Conservation","6331000615","2015","1.14",,"Tax Supported (including Transit)"
"619803.65","680000","677790","57986.35","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Ellice - Balmoral/ Maryland","1804100915","2015","91.44","Streets Renewals","Tax Supported (including Transit)"
"126861.55","200000","200000","73138.45","Tenant Improve Prepayment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Tenant Improvement Prepayment","6331002315","2015","63.43",,"Tax Supported (including Transit)"
"0","192000","192000","192000","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Projects","PS Accounts Receivable Billing","1200001517","2017","0",,"Tax Supported (including Transit)"
"0","280000","280000","280000","Developer Pay Back","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Developer Payback","6351000217","2017","0",,"Tax Supported (including Transit)"
"3115631.12","3000000","3660000","544368.88","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Transportation Mngmt Centre","1831200115","2015","85.13","Traffic Engineering Improvements","Tax Supported (including Transit)"
"0","425000","425000","425000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Chlorine Upgrading Pumping Stn","2005001115","2015","0",,"Utilities"
"0","1735000","1735000","1735000","Water Treatment - Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Ultraviolet Light  Upgrade","2005001517","2017","0",,"Utilities"
"127479.29","550000","550000","422520.71","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Road Resource Mgmt Facil","2062000415","2015","23.18",,"Utilities"
"0","500000","500000","500000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sidewalk/Curb Renewals-Reg St","1804200117","2017","0","Streets Renewals","Tax Supported (including Transit)"
"3450.5","0","2000000","1996549.5","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","McGillivray-Pembina/Fennel","1804102117","2017","0.17","Streets Renewals","Tax Supported (including Transit)"
"0","1300000","1300000","1300000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Urban Forest Enhancement","1850000217","2017","0","Reforestation, Streets and Aesthetic Improvements","Tax Supported (including Transit)"
"4318691.3","3828324","4693967.78","375276.48","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 15-R-08 In-House","1806100915","2015","92.01","Street Renewals","Tax Supported (including Transit)"
"1829418.35","2962165","2192537.96","363119.61","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-04B AECOM","1806101216","2016","83.44","Street Renewals","Tax Supported (including Transit)"
"245973.29","250000","250000","4026.71","Integrated Property Based Information Systems","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Tech Upgrade/Replace Prog","6262000114","2014","98.39",,"Tax Supported (including Transit)"
"0","100000","100000","100000","Floodplain Mgmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Floodplain Mgmt","2070000414","2014","0",,"Tax Supported (including Transit)"
"64552.15","0","80106","15553.85","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -Intuitive Routing","0400101716","2016","80.58",,"Tax Supported (including Transit)"
"109726.65","117000","117000","7273.35","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","RueAubert-Asph Conc Ln Pav 14x","1420211015","2015","93.78",,"Tax Supported (including Transit)"
"743753.74","1000000","997170","253416.26","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Bicycle Corridors","1832000415","2015","74.59","Active Transportation Facilities","Tax Supported (including Transit)"
"61716.61","200000","140000","78283.39","Library Shelving & Furniture  Replacement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Safety & Access","6210634515","2015","44.08",,"Tax Supported (including Transit)"
"848473.6","770000","870000","21526.4","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Drainage Roadwy&Site Imp","2062000615","2015","97.53",,"Utilities"
"163718.61","875000","814151.76","650433.15","Deacon Res Box Culvert Rehab","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Deacon Res Cell Rehabilitation","2011000115","2015","20.11",,"Utilities"
"1715880.93","2000000","1993500","277619.07","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Waterway Crossing & Grade Sep","1805000114","2014","86.07","Waterway Crossings and Grade Separations Various","Tax Supported (including Transit)"
"5318.74","2000000","1993500","1988181.26","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","St. James-Sargent/Ellice","1804102216","2016","0.27","Streets Renewals","Tax Supported (including Transit)"
"67069.73","4700000","4700000","4632930.27","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Pedestrian & Cycling Program","1832000117","2017","1.43","Active Transportation Facilities","Tax Supported (including Transit)"
"1975","0","450000","448025","Fire Safety Upgrading","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","2017 Fire Alarm Code Complianc","6331010417","2017","0.44",,"Tax Supported (including Transit)"
"0","0","32000","32000","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -Charging Stations","0400111716","2016","0",,"Tax Supported (including Transit)"
"0","0","2214628","2214628","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17-R-06B MMM","1806102217","2017","0","Street Renewals","Tax Supported (including Transit)"
"0","4830000","4830000","4830000","Watermain Renewals","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Saskatchewan Water Main","2013500117","2017","0",,"Utilities"
"73351.02","200000","96167.02","22816","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Summit Landfill-Leachate","2063000213","2013","76.27",,"Utilities"
"805740.27","1000000","997655","191914.73","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Active Transportation Corridor","1832000314","2014","80.76","Active Transportation Facilities","Tax Supported (including Transit)"
"184699","225000","200000","15301","Communications Network Infrastructure","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Communications Network Infr RP","3401200016","2016","92.35",,"Tax Supported (including Transit)"
"32331.96","150000","150000","117668.04","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","IT Continuity Plan","2010001014","2014","21.55",,"Utilities"
"0","100000","100000","100000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Detectable Warning Surf Reg St","1804200317","2017","0","Sidewalk and Curb Repair","Tax Supported (including Transit)"
"0","1468000","1468000","1468000","Transit Building Replacement/Refurbishment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Trn Bldg Replce/Refurb General","4210000317","2017","0",,"Tax Supported (including Transit)"
"0","1500000","0","0","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","BCI II-Phase 2","6351200011","2011","0",,"Tax Supported (including Transit)"
"265548.9","500000","498425","232876.1","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways & Bike Paths","1832000114","2014","53.28","Active Transportation Facilities","Tax Supported (including Transit)"
"113983.71","158080","158080","44096.29","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","FernwoodAve-Asph Conc Ln Pav 1","1420211215","2015","72.11",,"Tax Supported (including Transit)"
"2017550.33","2500000","2490625","473074.67","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Land Drainage Sewer-Reg/Loc St","1813000115","2015","81.01","Land Drainage Sewer","Tax Supported (including Transit)"
"0","300000","300000","300000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Princess-William/Donald","1804101517","2017","0","Streets Renewals","Tax Supported (including Transit)"
"0","10000","10000","10000","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","Point Hebert-GrassBLVD-20.5ft","1420230614","2014","0",,"Tax Supported (including Transit)"
"119554.75","275000","275000","155445.25","Data Warehouse / Business Integration","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","Enterprise Content Management","3470000015","2015","43.47",,"Tax Supported (including Transit)"
"0","350000","350000","350000","SW Rapid Tr Corridor","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","SWRT2 2017 P3 Payment","4230010517","2017","0",,"Tax Supported (including Transit)"
"1487268.17","1508000","1508000","20731.83","Community Incentive Grant Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Incentive Grant Prog","6251000111","2011","98.63",,"Tax Supported (including Transit)"
"3578303.05","3900444","3887768","309464.95","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 14-R-02 KGS","1806100214","2014","92.04","Street Renewals","Tax Supported (including Transit)"
"13919904.2","15240000","17740000","3820095.8","Fare Collection System","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Fare Collection System       M","4230001409","2009","78.47",,"Tax Supported (including Transit)"
"0","24984000","2850000","2850000","Transit Building Replacement/Refurbishment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Trn Bldg Replce/Refurbish 14PM","4210000314","2014","0",,"Tax Supported (including Transit)"
"0","375000","375000","375000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Community&Nghbor Parks-New","1853000217","2017","0","Parks Improvements","Tax Supported (including Transit)"
"163000","400000","163000","0","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","BIZ Zones Image Rtes Main Sts","6351241514","2014","100",,"Tax Supported (including Transit)"
"296844.4","881000","340000","43155.6","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Station Capital Maintenance","2107000015","2015","87.31",,"Tax Supported (including Transit)"
"72142.78","380000","380000","307857.22","Customer Information and Billing System","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Customer Billing Upgrade","2010001216","2016","18.98",,"Utilities"
"88542.13","653000","650300","561757.87","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks - Improvements","1853000114","2014","13.62","Parks Improvements","Tax Supported (including Transit)"
"0","425000","425000","425000","Accommodation Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Accommodation Facilities","6395000117","2017","0",,"Tax Supported (including Transit)"
"2845320.49","2932706","3029175","183854.51","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 14-R-08 In-House","1806100814","2014","93.93","Street Renewals","Tax Supported (including Transit)"
"150053.34","300000","300000","149946.66","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Insect Control-Repl 3Grey St.","1858000315","2015","50.02","Insect Control - Safe storage and handling of Chemicals","Tax Supported (including Transit)"
"97531.13","99000","99000","1468.87","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","Loraine - Asph Con LN Pav 14x5","1420210415","2015","98.52",,"Tax Supported (including Transit)"
"43316.39","64500","64500","21183.61","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","RosemountAve-Asph Conc Ln Pav","1420211115","2015","67.16",,"Tax Supported (including Transit)"
"46404.91","515000","515000","468595.09","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Frozen Services Mgmt Syst","2001003315","2015","9.01",,"Utilities"
"0","700000","700000","700000","Major Building HVAC Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Millennium Library - HVAC    M","6395020115","2015","0",,"Tax Supported (including Transit)"
"48393.39","225000","225000","176606.61","Security/Building Automation Systems Incentives","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Security/Building Automation","6331002615","2015","21.51",,"Tax Supported (including Transit)"
"0","200000","200000","200000","Historic Buildings Stabilization","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Historic Buildings","6331000716","2016","0",,"Tax Supported (including Transit)"
"0","2332000","2332000","2332000","Lift Station","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Lift Stations Upgrades","2035000117","2017","0",,"Utilities"
"257341.1","0","271428","14086.9","Recreation and Leisure Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Old Kildonan Ward       P","6399110113","2013","94.81",,"Tax Supported (including Transit)"
